"organism","project_home","project","n_samples","study_title","study_abstract"
"human","data_sources/tcga","CESC",309,"TCGA data for tissue: CESC","The Cancer Genome Atlas (TCGA), a landmark cancer genomics program, molecularly characterized over 20,000 primary cancer and matched normal samples spanning 33 cancer types. This joint effort between the National Cancer Institute and the National Human Genome Research Institute began in 2006, bringing together researchers from diverse disciplines and multiple institutions. Check <https://www.cancer.gov/about-nci/organization/ccg/research/structural-genomics/tcga> for more information on the TCGA project."
"human","data_sources/tcga","COAD",546,"TCGA data for tissue: COAD","The Cancer Genome Atlas (TCGA), a landmark cancer genomics program, molecularly characterized over 20,000 primary cancer and matched normal samples spanning 33 cancer types. This joint effort between the National Cancer Institute and the National Human Genome Research Institute began in 2006, bringing together researchers from diverse disciplines and multiple institutions. Check <https://www.cancer.gov/about-nci/organization/ccg/research/structural-genomics/tcga> for more information on the TCGA project."
"human","data_sources/tcga","ESCA",198,"TCGA data for tissue: ESCA","The Cancer Genome Atlas (TCGA), a landmark cancer genomics program, molecularly characterized over 20,000 primary cancer and matched normal samples spanning 33 cancer types. This joint effort between the National Cancer Institute and the National Human Genome Research Institute began in 2006, bringing together researchers from diverse disciplines and multiple institutions. Check <https://www.cancer.gov/about-nci/organization/ccg/research/structural-genomics/tcga> for more information on the TCGA project."
"human","data_sources/tcga","GBM",175,"TCGA data for tissue: GBM","The Cancer Genome Atlas (TCGA), a landmark cancer genomics program, molecularly characterized over 20,000 primary cancer and matched normal samples spanning 33 cancer types. This joint effort between the National Cancer Institute and the National Human Genome Research Institute began in 2006, bringing together researchers from diverse disciplines and multiple institutions. Check <https://www.cancer.gov/about-nci/organization/ccg/research/structural-genomics/tcga> for more information on the TCGA project."
"human","data_sources/tcga","HNSC",548,"TCGA data for tissue: HNSC","The Cancer Genome Atlas (TCGA), a landmark cancer genomics program, molecularly characterized over 20,000 primary cancer and matched normal samples spanning 33 cancer types. This joint effort between the National Cancer Institute and the National Human Genome Research Institute began in 2006, bringing together researchers from diverse disciplines and multiple institutions. Check <https://www.cancer.gov/about-nci/organization/ccg/research/structural-genomics/tcga> for more information on the TCGA project."
"human","data_sources/tcga","KICH",91,"TCGA data for tissue: KICH","The Cancer Genome Atlas (TCGA), a landmark cancer genomics program, molecularly characterized over 20,000 primary cancer and matched normal samples spanning 33 cancer types. This joint effort between the National Cancer Institute and the National Human Genome Research Institute began in 2006, bringing together researchers from diverse disciplines and multiple institutions. Check <https://www.cancer.gov/about-nci/organization/ccg/research/structural-genomics/tcga> for more information on the TCGA project."
"human","data_sources/tcga","KIRC",618,"TCGA data for tissue: KIRC","The Cancer Genome Atlas (TCGA), a landmark cancer genomics program, molecularly characterized over 20,000 primary cancer and matched normal samples spanning 33 cancer types. This joint effort between the National Cancer Institute and the National Human Genome Research Institute began in 2006, bringing together researchers from diverse disciplines and multiple institutions. Check <https://www.cancer.gov/about-nci/organization/ccg/research/structural-genomics/tcga> for more information on the TCGA project."
"human","data_sources/tcga","KIRP",323,"TCGA data for tissue: KIRP","The Cancer Genome Atlas (TCGA), a landmark cancer genomics program, molecularly characterized over 20,000 primary cancer and matched normal samples spanning 33 cancer types. This joint effort between the National Cancer Institute and the National Human Genome Research Institute began in 2006, bringing together researchers from diverse disciplines and multiple institutions. Check <https://www.cancer.gov/about-nci/organization/ccg/research/structural-genomics/tcga> for more information on the TCGA project."
"human","data_sources/tcga","LAML",178,"TCGA data for tissue: LAML","The Cancer Genome Atlas (TCGA), a landmark cancer genomics program, molecularly characterized over 20,000 primary cancer and matched normal samples spanning 33 cancer types. This joint effort between the National Cancer Institute and the National Human Genome Research Institute began in 2006, bringing together researchers from diverse disciplines and multiple institutions. Check <https://www.cancer.gov/about-nci/organization/ccg/research/structural-genomics/tcga> for more information on the TCGA project."
"human","data_sources/tcga","LGG",532,"TCGA data for tissue: LGG","The Cancer Genome Atlas (TCGA), a landmark cancer genomics program, molecularly characterized over 20,000 primary cancer and matched normal samples spanning 33 cancer types. This joint effort between the National Cancer Institute and the National Human Genome Research Institute began in 2006, bringing together researchers from diverse disciplines and multiple institutions. Check <https://www.cancer.gov/about-nci/organization/ccg/research/structural-genomics/tcga> for more information on the TCGA project."
"human","data_sources/tcga","LIHC",424,"TCGA data for tissue: LIHC","The Cancer Genome Atlas (TCGA), a landmark cancer genomics program, molecularly characterized over 20,000 primary cancer and matched normal samples spanning 33 cancer types. This joint effort between the National Cancer Institute and the National Human Genome Research Institute began in 2006, bringing together researchers from diverse disciplines and multiple institutions. Check <https://www.cancer.gov/about-nci/organization/ccg/research/structural-genomics/tcga> for more information on the TCGA project."
"human","data_sources/tcga","LUAD",601,"TCGA data for tissue: LUAD","The Cancer Genome Atlas (TCGA), a landmark cancer genomics program, molecularly characterized over 20,000 primary cancer and matched normal samples spanning 33 cancer types. This joint effort between the National Cancer Institute and the National Human Genome Research Institute began in 2006, bringing together researchers from diverse disciplines and multiple institutions. Check <https://www.cancer.gov/about-nci/organization/ccg/research/structural-genomics/tcga> for more information on the TCGA project."
"human","data_sources/tcga","LUSC",555,"TCGA data for tissue: LUSC","The Cancer Genome Atlas (TCGA), a landmark cancer genomics program, molecularly characterized over 20,000 primary cancer and matched normal samples spanning 33 cancer types. This joint effort between the National Cancer Institute and the National Human Genome Research Institute began in 2006, bringing together researchers from diverse disciplines and multiple institutions. Check <https://www.cancer.gov/about-nci/organization/ccg/research/structural-genomics/tcga> for more information on the TCGA project."
